lane	tile	row	col
2	2101	2	1
2	2102	2	2
2	2103	2	3
2	2104	2	4
2	2105	2	5
2	2106	2	6
2	2107	2	7
2	2108	2	8
2	2109	2	9
2	2110	2	10
2	2111	2	11
2	2112	2	12
2	2113	2	13
2	2114	2	14
2	2115	2	15
2	2116	2	16
2	2201	1	1
2	2202	1	2
2	2203	1	3
2	2204	1	4
2	2205	1	5
2	2206	1	6
2	2207	1	7
2	2208	1	8
2	2209	1	9
2	2210	1	10
2	2211	1	11
2	2212	1	12
2	2213	1	13
2	2214	1	14
2	2215	1	15
2	2216	1	16
