lane	tile	row	col
1	2101	1	1
1	2102	1	2
1	2103	1	3
1	2104	1	4
1	2105	1	5
1	2106	1	6
1	2107	1	7
1	2108	1	8
1	2109	1	9
1	2110	1	10
1	2111	1	11
1	2112	1	12
1	2113	1	13
1	2114	1	14
1	2115	1	15
1	2116	1	16
1	2117	1	17
1	2118	1	18
1	2119	1	19
