lane	tile	row	col
2	1101	2	1
2	1102	2	2
2	1103	2	3
2	1104	2	4
2	1105	2	5
2	1106	2	6
2	1107	2	7
2	1108	2	8
2	1109	2	9
2	1110	2	10
2	1111	2	11
2	1112	2	12
2	1113	2	13
2	1114	2	14
2	1115	2	15
2	1116	2	16
2	1201	1	1
2	1202	1	2
2	1203	1	3
2	1204	1	4
2	1205	1	5
2	1206	1	6
2	1207	1	7
2	1208	1	8
2	1209	1	9
2	1210	1	10
2	1211	1	11
2	1212	1	12
2	1213	1	13
2	1214	1	14
2	1215	1	15
2	1216	1	16
